"Name,""SI"",""Handles"",""VM"",""WS"",""PM"",""NPM"",""Path"",""Company"",""CPU"",""FileVersion"",""ProductVersion"",""Description"",""Product"",""__NounName"",""BasePriority"",""ExitCode"",""HasExited"",""ExitTime"",""Handle"",""SafeHandle"",""HandleCount"",""Id"",""MachineName"",""MainWindowHandle"",""MainWindowTitle"",""MainModule"",""MaxWorkingSet"",""MinWorkingSet"",""Modules"",""NonpagedSystemMemorySize"",""NonpagedSystemMemorySize64"",""PagedMemorySize"",""PagedMemorySize64"",""PagedSystemMemorySize"",""PagedSystemMemorySize64"",""PeakPagedMemorySize"",""PeakPagedMemorySize64"",""PeakWorkingSet"",""PeakWorkingSet64"",""PeakVirtualMemorySize"",""PeakVirtualMemorySize64"",""PriorityBoostEnabled"",""PriorityClass"",""PrivateMemorySize"",""PrivateMemorySize64"",""PrivilegedProcessorTime"",""ProcessName"",""ProcessorAffinity"",""Responding"",""SessionId"",""StartInfo"",""StartTime"",""SynchronizingObject"",""Threads"",""TotalProcessorTime"",""UserProcessorTime"",""VirtualMemorySize"",""VirtualMemorySize64"",""EnableRaisingEvents"",""StandardInput"",""StandardOutput"",""StandardError"",""WorkingSet"",""WorkingSet64"",""Site"",""Container"""
"conhost,""1"",""254"",""2203477008384"",""12812288"",""4399104"",""13656"",""C:\Windows\system32\conhost.exe"",""Microsoft Corporation"",""4,171875"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Host de ventana de consola"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""3720"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""254"",""14720"",""."",""0"","""",""System.Diagnostics.ProcessModule (conhost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""13656"",""13656"",""4399104"",""4399104"",""228584"",""228584"",""4431872"",""4431872"",""23986176"",""23986176"",""167706624"",""2203485929472"",""True"",""Normal"",""4399104"",""4399104"",""00:00:02.7031250"",""conhost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 7:49:11 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:04.1718750"",""00:00:01.4687500"",""158785536"",""2203477008384"",""False"",,,,""12812288"",""12812288"",,"
"CoreSync,""1"",""646"",""214970368"",""27127808"",""18878464"",""36880"",""C:\Program Files (x86)\Adobe\Adobe Sync\Coresync\Coresync.exe"","""",""64,609375"",""4.3.14.8"",""4.3.14"",""Core Sync"",""CoreSync"",""Process"",""8"",,""False"",,""1980"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""646"",""10656"",""."",""0"","""",""System.Diagnostics.ProcessModule (Coresync.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""36880"",""36880"",""18878464"",""18878464"",""287520"",""287520"",""21426176"",""21426176"",""36069376"",""36069376"",""229326848"",""229326848"",""True"",""Normal"",""18878464"",""18878464"",""00:00:37.5625000"",""CoreSync"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:38 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:01:04.6093750"",""00:00:27.0468750"",""214970368"",""214970368"",""False"",,,,""27127808"",""27127808"",,"
"Creative Cloud,""1"",""835"",""2203826388992"",""47013888"",""47169536"",""48272"",""C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe"",""Adobe Inc."",""76,828125"",""5.0.0.354"",""5.0.0.354"",""Creative Cloud Desktop"",""Creative Cloud Desktop"",""Process"",""8"",,""False"",,""3252"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""835"",""11996"",""."",""0"","""",""System.Diagnostics.ProcessModule (Creative Cloud.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""48272"",""48272"",""47169536"",""47169536"",""792960"",""792960"",""55406592"",""55406592"",""98611200"",""98611200"",""549249024"",""2203867471872"",""True"",""Normal"",""47169536"",""47169536"",""00:00:42.5781250"",""Creative Cloud"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:29 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:01:16.8281250"",""00:00:34.2500000"",""508166144"",""2203826388992"",""False"",,,,""47013888"",""47013888"",,"
"csrss,""0"",""830"",""2203417358336"",""4292608"",""2170880"",""25896"",,,,,,,,""Process"",""13"",,,,,,""830"",""600"",""."",""0"","""",,,,,""25896"",""25896"",""2170880"",""2170880"",""278520"",""278520"",""6328320"",""6328320"",""6172672"",""6172672"",""101957632"",""2203420180480"",,,""2170880"",""2170880"",,""csrss"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""99135488"",""2203417358336"",""False"",,,,""4292608"",""4292608"",,"
"csrss,""1"",""860"",""2203481894912"",""5181440"",""2613248"",""27704"",,,,,,,,""Process"",""13"",,,,,,""860"",""692"",""."",""0"","""",,,,,""27704"",""27704"",""2613248"",""2613248"",""284592"",""284592"",""6955008"",""6955008"",""15130624"",""15130624"",""172060672"",""2203490283520"",,,""2613248"",""2613248"",,""csrss"",,""True"",""1"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""163672064"",""2203481894912"",""False"",,,,""5181440"",""5181440"",,"
"ctfmon,""1"",""514"",""2203469991936"",""19464192"",""12103680"",""16496"",,,""20,359375"",,,,,""Process"",""13"",,,,,,""514"",""7528"",""."",""0"","""",,,,,""16496"",""16496"",""12103680"",""12103680"",""203280"",""203280"",""12103680"",""12103680"",""19468288"",""19468288"",""153800704"",""2203472023552"",,,""12103680"",""12103680"",""00:00:15.3125000"",""ctfmon"",,""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:43:47 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:20.3593750"",""00:00:05.0468750"",""151769088"",""2203469991936"",""False"",,,,""19464192"",""19464192"",,"
"dasHost,""0"",""133"",""2203378999296"",""3567616"",""1212416"",""6312"",,,,,,,,""Process"",""8"",,,,,,""133"",""2632"",""."",""0"","""",,,,,""6312"",""6312"",""1212416"",""1212416"",""51272"",""51272"",""1495040"",""1495040"",""5644288"",""5644288"",""66019328"",""2203384242176"",,,""1212416"",""1212416"",,""dasHost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""60776448"",""2203378999296"",""False"",,,,""3567616"",""3567616"",,"
"DDVCollectorSvcApi,""0"",""142"",""4380286976"",""5951488"",""1753088"",""8832"",,,,,,,,""Process"",""8"",,,,,,""142"",""452"",""."",""0"","""",,,,,""8832"",""8832"",""1753088"",""1753088"",""100504"",""100504"",""1843200"",""1843200"",""7618560"",""7618560"",""88465408"",""4383432704"",,,""1753088"",""1753088"",,""DDVCollectorSvcApi"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""85319680"",""4380286976"",""False"",,,,""5951488"",""5951488"",,"
"DDVDataCollector,""0"",""374"",""4469518336"",""16154624"",""28635136"",""21936"",,,,,,,,""Process"",""8"",,,,,,""374"",""5348"",""."",""0"","""",,,,,""21936"",""21936"",""28635136"",""28635136"",""231344"",""231344"",""31567872"",""31567872"",""30015488"",""30015488"",""178794496"",""4473761792"",,,""28635136"",""28635136"",,""DDVDataCollector"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""174551040"",""4469518336"",""False"",,,,""16154624"",""16154624"",,"
"DDVRulesProcessor,""0"",""308"",""4429139968"",""11862016"",""18894848"",""18192"",,,,,,,,""Process"",""8"",,,,,,""308"",""7848"",""."",""0"","""",,,,,""18192"",""18192"",""18894848"",""18894848"",""151616"",""151616"",""20824064"",""20824064"",""17559552"",""17559552"",""138366976"",""4433334272"",,,""18894848"",""18894848"",,""DDVRulesProcessor"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""134172672"",""4429139968"",""False"",,,,""11862016"",""11862016"",,"
"dllhost,""1"",""226"",""2203507924992"",""11268096"",""4780032"",""20664"",""C:\Windows\system32\DllHost.exe"",""Microsoft Corporation"",""0,375"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""COM Surrogate"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""2156"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""226"",""1912"",""."",""0"","""",""System.Diagnostics.ProcessModule (DllHost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""20664"",""20664"",""4780032"",""4780032"",""146864"",""146864"",""6635520"",""6635520"",""13697024"",""13697024"",""200110080"",""2203518332928"",""True"",""Normal"",""4780032"",""4780032"",""00:00:00.2968750"",""dllhost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 6:42:17 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.3750000"",""00:00:00.0781250"",""189702144"",""2203507924992"",""False"",,,,""11268096"",""11268096"",,"
"dllhost,""0"",""242"",""2203412283392"",""9814016"",""4276224"",""13768"",,,,,,,,""Process"",""8"",,,,,,""242"",""2180"",""."",""0"","""",,,,,""13768"",""13768"",""4276224"",""4276224"",""104560"",""104560"",""4517888"",""4517888"",""13963264"",""13963264"",""101400576"",""2203419623424"",,,""4276224"",""4276224"",,""dllhost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""94060544"",""2203412283392"",""False"",,,,""9814016"",""9814016"",,"
"dllhost,""0"",""200"",""2203483779072"",""8966144"",""3334144"",""16856"",,,,,,,,""Process"",""8"",,,,,,""200"",""5188"",""."",""0"","""",,,,,""16856"",""16856"",""3334144"",""3334144"",""111120"",""111120"",""3964928"",""3964928"",""11247616"",""11247616"",""171618304"",""2203489841152"",,,""3334144"",""3334144"",,""dllhost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""165556224"",""2203483779072"",""False"",,,,""8966144"",""8966144"",,"
"dllhost,""1"",""131"",""2203416264704"",""11542528"",""2023424"",""8152"",""C:\Windows\system32\DllHost.exe"",""Microsoft Corporation"",""2,1875"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""COM Surrogate"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""2692"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""131"",""8204"",""."",""0"","""",""System.Diagnostics.ProcessModule (DllHost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""8152"",""8152"",""2023424"",""2023424"",""122584"",""122584"",""2621440"",""2621440"",""12529664"",""12529664"",""104869888"",""2203423092736"",""True"",""Normal"",""2023424"",""2023424"",""00:00:01.0312500"",""dllhost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:43:56 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:02.1875000"",""00:00:01.1562500"",""98041856"",""2203416264704"",""False"",,,,""11542528"",""11542528"",,"
"DSAPI,""0"",""696"",""5083332608"",""46735360"",""51367936"",""55328"",,,,,,,,""Process"",""8"",,,,,,""696"",""11324"",""."",""0"","""",,,,,""55328"",""55328"",""51367936"",""51367936"",""469608"",""469608"",""54714368"",""54714368"",""70213632"",""70213632"",""834666496"",""5129633792"",,,""51367936"",""51367936"",,""DSAPI"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""788365312"",""5083332608"",""False"",,,,""46735360"",""46735360"",,"
"dwm,""1"",""1110"",""2203795542016"",""69320704"",""65949696"",""61816"",,,,,,,,""Process"",""13"",,,,,,""1110"",""1084"",""."",""0"","""",,,,,""61816"",""61816"",""65949696"",""65949696"",""735048"",""735048"",""76435456"",""76435456"",""85069824"",""85069824"",""485388288"",""2203803611136"",,,""65949696"",""65949696"",,""dwm"",,""True"",""1"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""477319168"",""2203795542016"",""False"",,,,""69320704"",""69320704"",,"
"EvtEng,""0"",""411"",""4442267648"",""12910592"",""6467584"",""19504"",,,,,,,,""Process"",""8"",,,,,,""411"",""4724"",""."",""0"","""",,,,,""19504"",""19504"",""6467584"",""6467584"",""192648"",""192648"",""6508544"",""6508544"",""18022400"",""18022400"",""149397504"",""4444364800"",,,""6467584"",""6467584"",,""EvtEng"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""147300352"",""4442267648"",""False"",,,,""12910592"",""12910592"",,"
"explorer,""1"",""3481"",""2204138586112"",""138575872"",""85725184"",""170432"",""C:\Windows\Explorer.EXE"",""Microsoft Corporation"",""212,96875"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Explorador de Windows"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""3888"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""3481"",""7904"",""."",""65812"","""",""System.Diagnostics.ProcessModule (Explorer.EXE)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""170432"",""170432"",""85725184"",""85725184"",""1339024"",""1339024"",""91189248"",""91189248"",""159436800"",""159436800"",""984240128"",""2204302462976"",""True"",""Normal"",""85725184"",""85725184"",""00:02:10.6250000"",""explorer"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:43:49 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:03:32.9687500"",""00:01:22.3437500"",""820363264"",""2204138586112"",""False"",,,,""138575872"",""138575872"",,"
"figma_agent,""1"",""338"",""121020416"",""9232384"",""5070848"",""21424"",""C:\Users\jaive\AppData\Local\FigmaAgent\figma_agent.exe"","""",""0,734375"",""0.15.0"",""0.15.0"",""Figma Agent"",""figma_agent"",""Process"",""8"",,""False"",,""2864"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""338"",""11520"",""."",""0"","""",""System.Diagnostics.ProcessModule (figma_agent.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""21424"",""21424"",""5070848"",""5070848"",""187280"",""187280"",""5705728"",""5705728"",""15728640"",""15728640"",""128888832"",""128888832"",""True"",""Normal"",""5070848"",""5070848"",""00:00:00.4687500"",""figma_agent"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:24 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.7343750"",""00:00:00.2656250"",""121020416"",""121020416"",""False"",,,,""9232384"",""9232384"",,"
"fontdrvhost,""0"",""32"",""2203388329984"",""1925120"",""1712128"",""5432"",,,,,,,,""Process"",""8"",,,,,,""32"",""1012"",""."",""0"","""",,,,,""5432"",""5432"",""1712128"",""1712128"",""39912"",""39912"",""1740800"",""1740800"",""3710976"",""3710976"",""71217152"",""2203389440000"",,,""1712128"",""1712128"",,""fontdrvhost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""70107136"",""2203388329984"",""False"",,,,""1925120"",""1925120"",,"
"fontdrvhost,""1"",""32"",""2203411292160"",""10412032"",""3796992"",""10192"",,,,,,,,""Process"",""8"",,,,,,""32"",""1020"",""."",""0"","""",,,,,""10192"",""10192"",""3796992"",""3796992"",""78616"",""78616"",""3829760"",""3829760"",""10522624"",""10522624"",""113246208"",""2203431469056"",,,""3796992"",""3796992"",,""fontdrvhost"",,""True"",""1"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""93069312"",""2203411292160"",""False"",,,,""10412032"",""10412032"",,"
"GameBar,""1"",""328"",""2203756216320"",""184320"",""17149952"",""19424"",""C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_3.34.15002.0_x64__8wekyb3d8bbwe\GameBar.exe"",""Microsoft Corporation"",""0,296875"",""3.34.1910.15002"",""3.34.191015002-1910"",""GameBar.exe"",""Xbox.Apps.GamingOverlay"",""Process"",""8"",,""False"",,""4012"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""328"",""1440"",""."",""0"","""",""System.Diagnostics.ProcessModule (GameBar.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""19424"",""19424"",""17149952"",""17149952"",""482672"",""482672"",""18399232"",""18399232"",""46321664"",""46321664"",""440090624"",""2203758313472"",""True"",""Normal"",""17149952"",""17149952"",""00:00:00.2187500"",""GameBar"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 5:13:46 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.2968750"",""00:00:00.0781250"",""437993472"",""2203756216320"",""False"",,,,""184320"",""184320"",,"
"HxAccounts,""1"",""532"",""2203824381952"",""52133888"",""14049280"",""27040"",""C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.12026.20368.0_x64__8wekyb3d8bbwe\HxAccounts.exe"",""Microsoft Corporation"",""0,546875"",""16.0.12026.20368"",""16.0.12026.20368"",""Microsoft Outlook Accounts"",""Microsoft Office"",""Process"",""8"",,""False"",,""2112"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""532"",""2388"",""."",""0"","""",""System.Diagnostics.ProcessModule (HxAccounts.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""27040"",""27040"",""14049280"",""14049280"",""674064"",""674064"",""14086144"",""14086144"",""52801536"",""52801536"",""507236352"",""2203825459200"",""True"",""Normal"",""14049280"",""14049280"",""00:00:00.2812500"",""HxAccounts"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:09:22 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.5468750"",""00:00:00.2656250"",""506159104"",""2203824381952"",""False"",,,,""52133888"",""52133888"",,"
"HxOutlook,""1"",""972"",""2204065583104"",""74493952"",""37416960"",""46760"",""C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.12026.20368.0_x64__8wekyb3d8bbwe\HxOutlook.exe"",""Microsoft Corporation"",""2,0625"",""16.0.12026.20366"",""16.0.12026.20366"",""Microsoft Outlook"",""Microsoft Office"",""Process"",""8"",,""False"",,""2992"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""972"",""7632"",""."",""986648"",""Correo"",""System.Diagnostics.ProcessModule (HxOutlook.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""46760"",""46760"",""37416960"",""37416960"",""1173888"",""1173888"",""45465600"",""45465600"",""108208128"",""108208128"",""754700288"",""2204072923136"",""True"",""Normal"",""37416960"",""37416960"",""00:00:01"",""HxOutlook"",""15"",""False"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:09:19 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:02.0625000"",""00:00:01.0625000"",""747360256"",""2204065583104"",""False"",,,,""74493952"",""74493952"",,"
"HxTsr,""1"",""690"",""2203574005760"",""49029120"",""13803520"",""36944"",""C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.12026.20368.0_x64__8wekyb3d8bbwe\HxTsr.exe"",""Microsoft Corporation"",""1,546875"",""16.0.12026.20368"",""16.0.12026.20368"",""Microsoft Outlook Communications"",""Microsoft Office"",""Process"",""8"",,""False"",,""2368"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""690"",""17228"",""."",""0"","""",""System.Diagnostics.ProcessModule (HxTsr.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""36944"",""36944"",""13803520"",""13803520"",""359672"",""359672"",""15020032"",""15020032"",""49684480"",""49684480"",""257953792"",""2203576176640"",""True"",""Normal"",""13803520"",""13803520"",""00:00:00.5781250"",""HxTsr"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:09:19 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.5468750"",""00:00:00.9687500"",""255782912"",""2203574005760"",""False"",,,,""49029120"",""49029120"",,"
"IAStorDataMgrSvc,""0"",""513"",""214298624"",""17498112"",""32268288"",""42936"",,,,,,,,""Process"",""8"",,,,,,""513"",""948"",""."",""0"","""",,,,,""42936"",""42936"",""32268288"",""32268288"",""336680"",""336680"",""36835328"",""36835328"",""59711488"",""59711488"",""226750464"",""226750464"",,,""32268288"",""32268288"",,""IAStorDataMgrSvc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""214298624"",""214298624"",""False"",,,,""17498112"",""17498112"",,"
"IAStorIcon,""1"",""363"",""256360448"",""14630912"",""25128960"",""31832"",""C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorIcon.exe"",""Intel Corporation"",""1,59375"",""15.2.0.1020"",""15.2.0.1020"",""IAStorIcon"",""IAStorIcon"",""Process"",""8"",,""False"",,""1920"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""363"",""7340"",""."",""0"","""",""System.Diagnostics.ProcessModule (IAStorIcon.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""31832"",""31832"",""25128960"",""25128960"",""423072"",""423072"",""26107904"",""26107904"",""44367872"",""44367872"",""266698752"",""266698752"",""True"",""Normal"",""25128960"",""25128960"",""00:00:00.2968750"",""IAStorIcon"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:45:21 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.5937500"",""00:00:01.2968750"",""256360448"",""256360448"",""False"",,,,""14630912"",""14630912"",,"
"ibtsiva,""0"",""88"",""4353855488"",""3510272"",""1069056"",""5496"",,,,,,,,""Process"",""8"",,,,,,""88"",""4740"",""."",""0"","""",,,,,""5496"",""5496"",""1069056"",""1069056"",""46304"",""46304"",""1323008"",""1323008"",""4853760"",""4853760"",""65179648"",""4360146944"",,,""1069056"",""1069056"",,""ibtsiva"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""58888192"",""4353855488"",""False"",,,,""3510272"",""3510272"",,"
"Idle,""0"",""0"",""8192"",""8192"",""61440"",""272"",,,,,,,,""Process"",""0"",,,,,,""0"",""0"",""."",""0"","""",,,,,""272"",""272"",""61440"",""61440"",""0"",""0"",""61440"",""61440"",""12288"",""12288"",""8192"",""8192"",,,""61440"",""61440"",,""Idle"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""8192"",""8192"",""False"",,,,""8192"",""8192"",,"
"igfxCUIService,""0"",""168"",""2203399315456"",""6230016"",""1843200"",""9440"",,,,,,,,""Process"",""8"",,,,,,""168"",""2732"",""."",""0"","""",,,,,""9440"",""9440"",""1843200"",""1843200"",""91064"",""91064"",""2125824"",""2125824"",""8871936"",""8871936"",""89481216"",""2203407704064"",,,""1843200"",""1843200"",,""igfxCUIService"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""81092608"",""2203399315456"",""False"",,,,""6230016"",""6230016"",,"
"igfxEM,""1"",""238"",""2203461013504"",""11075584"",""4096000"",""14536"",""C:\Windows\System32\DriverStore\FileRepository\ki127176.inf_amd64_86c658cabfb17c9c\igfxEM.exe"",""Intel Corporation"",""1,03125"",""6.15.10.4973"",""6.15.10.4973"",""igfxEM Module"",""Intel(R) Common User Interface"",""Process"",""8"",,""False"",,""3932"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""238"",""7232"",""."",""0"","""",""System.Diagnostics.ProcessModule (igfxEM.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""14536"",""14536"",""4096000"",""4096000"",""200960"",""200960"",""6778880"",""6778880"",""14606336"",""14606336"",""161951744"",""2203480174592"",""True"",""Normal"",""4096000"",""4096000"",""00:00:00.9375000"",""igfxEM"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:43:46 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.0312500"",""00:00:00.0937500"",""142790656"",""2203461013504"",""False"",,,,""11075584"",""11075584"",,"
"IntelCpHDCPSvc,""0"",""142"",""2203389509632"",""5193728"",""1474560"",""7808"",,,,,,,,""Process"",""8"",,,,,,""142"",""4840"",""."",""0"","""",,,,,""7808"",""7808"",""1474560"",""1474560"",""73576"",""73576"",""1691648"",""1691648"",""7200768"",""7200768"",""78663680"",""2203396886528"",,,""1474560"",""1474560"",,""IntelCpHDCPSvc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""71286784"",""2203389509632"",""False"",,,,""5193728"",""5193728"",,"
"IntelCpHeciSvc,""0"",""132"",""2203389362176"",""5009408"",""1404928"",""6992"",,,,,,,,""Process"",""8"",,,,,,""132"",""5444"",""."",""0"","""",,,,,""6992"",""6992"",""1404928"",""1404928"",""71160"",""71160"",""1585152"",""1585152"",""6983680"",""6983680"",""77430784"",""2203395653632"",,,""1404928"",""1404928"",,""IntelCpHeciSvc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""71139328"",""2203389362176"",""False"",,,,""5009408"",""5009408"",,"
"javaw,""1"",""549"",""7485075456"",""181022720"",""340996096"",""32392"",""C:\Program Files\Java\jre1.8.0_211\bin\javaw.exe"",""Oracle Corporation"",""10"",""8.0.2110.12"",""8.0.2110.12"",""Java(TM) Platform SE binary"",""Java(TM) Platform SE 8"",""Process"",""8"",,""False"",,""3820"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""549"",""13276"",""."",""0"","""",""System.Diagnostics.ProcessModule (javaw.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""32392"",""32392"",""340996096"",""340996096"",""212008"",""212008"",""341020672"",""341020672"",""182063104"",""182063104"",""-1102761984"",""7487172608"",""True"",""Normal"",""340996096"",""340996096"",""00:00:04.7656250"",""javaw"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:57:54 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:10"",""00:00:05.2343750"",""-1104859136"",""7485075456"",""False"",,,,""181022720"",""181022720"",,"
"jusched,""1"",""153"",""73170944"",""5156864"",""1638400"",""10928"",""C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe"",""Oracle Corporation"",""0,046875"",""2.8.211.12"",""2.8.211.12"",""Java Update Scheduler"",""Java Platform SE Auto Updater"",""Process"",""8"",,""False"",,""1048"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""153"",""11952"",""."",""0"","""",""System.Diagnostics.ProcessModule (jusched.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""10928"",""10928"",""1638400"",""1638400"",""146128"",""146128"",""1777664"",""1777664"",""7684096"",""7684096"",""75792384"",""75792384"",""True"",""Normal"",""1638400"",""1638400"",""00:00:00.0312500"",""jusched"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:28 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.0468750"",""00:00:00.0156250"",""73170944"",""73170944"",""False"",,,,""5156864"",""5156864"",,"
